,Value_ire,Value_spa,Value
2010-01-01,41.16,47.14,22.81
2010-02-01,45.94,44.9,25.86
2010-03-01,52.03,50.86,32.95
2010-04-01,44.95,47.25,28.75
2010-05-01,43.75,50.64,32.14
2010-06-01,45.44,52.33,35.48
2010-07-01,43.45,51.17,36.08
2010-08-01,44.61,53.37,30.49
2010-09-01,52.71,51.23,35.38
2010-10-01,48.78,50.87,36.24
2010-11-01,54.37,49.82,36.6
2010-12-01,41.82,57.01,33.2
2011-01-01,40.11,47.66,30.5
2011-02-01,42.08,45.69,29.8
2011-03-01,48.88,50.15,35.53
2011-04-01,45.17,48.06,29.59
2011-05-01,44.66,53.58,33.68
2011-06-01,45.08,51.99,32.37
2011-07-01,38.95,52.01,29.13
2011-08-01,47.69,54.17,28.97
2011-09-01,51.94,52.34,30.56
2011-10-01,50.86,50.45,31.13
2011-11-01,53.57,47.29,31.86
2011-12-01,37.78,50.73,36.81
2012-01-01,42.11,45.06,23.9
2012-02-01,39.83,44.11,22.6
2012-03-01,38.02,47.29,34.0
2012-04-01,37.41,47.1,24.9
2012-05-01,39.56,51.18,37.4
2012-06-01,35.26,50.31,36.3
2012-07-01,38.49,53.1,28.5
2012-08-01,42.86,52.66,26.3
2012-09-01,42.24,48.96,27.1
2012-10-01,51.62,53.46,29.7
2012-11-01,48.88,49.33,40.3
2012-12-01,39.13,48.83,40.0
2013-01-01,46.01,46.78,27.3
2013-02-01,42.6,43.31,27.31
2013-03-01,38.28,43.79,28.48
2013-04-01,41.02,49.65,27.93
2013-05-01,41.7,51.36,29.85
2013-06-01,36.46,48.34,31.71
2013-07-01,43.79,52.93,29.5
2013-08-01,39.95,49.9,26.63
2013-09-01,47.8,49.73,29.78
2013-10-01,51.56,49.95,28.31
2013-11-01,47.31,46.21,26.73
2013-12-01,41.1,48.88,25.5
2014-01-01,49.35,46.11,25.7
2014-02-01,45.4,42.06,32.08
2014-03-01,48.56,44.78,35.15
2014-04-01,49.27,45.07,37.12
2014-05-01,48.77,48.6,37.41
2014-06-01,46.16,49.8,34.32
2014-07-01,45.77,51.53,34.5
2014-08-01,46.29,48.26,33.1
2014-09-01,53.55,51.01,35.99
2014-10-01,53.94,51.53,39.08
2014-11-01,48.16,46.66,34.38
